ticker,date,datetime,headline,summary,link,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral
AAPL,2026-06-13,2026-06-13 14:48:11,"SpaceX's Nasdaq Debut Puts Bitcoin On 25% Of 'Mag8' Balance Sheets, Strategy’s Michael Saylor Says","FTSE Russell confirmed SpaceX will join the Russell 1000 and Russell Top 200 on June 26, with MSCI adding it to its standard and large-cap indexes on June 29.",https://stocktwits.com/news-articles/markets/cryptocurrency/saylor-spacex-mag8-bitcoin/cZKII4kR75H?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1627,0.0097,0.8276
AAPL,2026-06-13,2026-06-13 14:27:00,"Apple Is Mostly Sitting Out the AI Spending Arms Race. With AI Stocks Selling Off, That Suddenly Looks Smart.",A brutal week for AI's biggest spenders is recasting the iPhone maker's restraint as a strength.,https://www.fool.com/investing/2026/06/13/apple-is-mostly-sitting-out-the-ai-spending-arms-r/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.2352,0.3797,0.3851
AAPL,2026-06-13,2026-06-13 11:25:00,"Should I Update iOS 27 ""Tenorshare Launches An iOS 27 Upgrade-Downgrade Companion Tool""","Tenorshare launched an interactive iOS 27 Upgrade-Downgrade Companion to assist users weighing the risks of Apple's next OS, offering tailored recommendations for hesitant iOS 27 upgraders and providing a seamless, data-safe downgrade from iOS 27 ...",https://finance.yahoo.com/sectors/technology/articles/ios-27-tenorshare-launches-ios-112500596.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.2509,0.0128,0.7363
AAPL,2026-06-13,2026-06-13 11:00:00,MarketBeat Week in Review – 06/08 - 06/12,"Stocks rallied on optimism surrounding a potential U.S.-Iran peace deal and SpaceX's historic IPO debut, reinforcing investor confidence and market momentum",https://www.marketbeat.com/articles/marketbeat-week-in-review-06-08-06-12/?utm_source=yahoofinance&utm_medium=yahoofinance&.tsrc=rss,Yahoo Finance RSS,positive,0.9436,0.9436,0.0274,0.029
AAPL,2026-06-13,2026-06-13 09:00:00,"Apple just dropped these three hidden clues about where the company is heading, thanks to AI","Apple had a lot to say about AI at WWDC. If you listened closely enough, you could hear what it means for Apple’s overall business, not to mention brand identity.",https://www.fastcompany.com/91557210/apple-ios-27-siri-ai-artificial-intelligence-hardware-business-brand-company-future?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0425,0.0419,0.9156
AAPL,2026-06-13,2026-06-13 08:33:55,"Exclusive-Tata's iPhone parts factory contaminated farmland water, India pollution body alleges",An Indian pollution regulator has alleged wastewater discharged from a Tata components factory for Apple's iPhone has contaminated the groundwater for nearby farms and warned of a ‌forced shutdown unless Tata gives a satisfactory explanation.  India's Tata Electronics is central to Apple's push to diversify iPhone production ‌beyond China and is the second-biggest supplier to Apple in South Asia after Taiwan's Foxconn.  The Tata plant under investigation is in Hosur in southern Tamil Nadu state ​and makes back panels and other components for iPhones.,https://finance.yahoo.com/sectors/technology/articles/exclusive-tatas-iphone-parts-factory-083355814.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.8261,0.016,0.8261,0.1579
AAPL,2026-06-13,2026-06-13 02:40:00,The Index Says Euphoria. But Don’t Panic.,A Citigroup sentiment indicator hasn’t shown this much market euphoria since the post-Covid rally of 2021. How long can it last?,https://finance.yahoo.com/m/f3575c70-9280-3535-ba58-0f66dd6cc4b1/the-index-says-euphoria.-but.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0373,0.428,0.5348
AAPL,2026-06-13,2026-06-13 01:01:00,Can Apple Stock Double to $600 in 5 Years?,"After shares posted a 134% trailing five-year gain, investors are now focused on what the next half decade will bring.",https://www.fool.com/investing/2026/06/12/can-apple-stock-double-to-600-in-5-years/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.151,0.0242,0.8248
AAPL,2026-06-12,2026-06-12 23:08:41,Does Google Stock Have More Upside?,"Alphabet (GOOGL) stock is at an interesting point right now. It has strong momentum, and if you bet on it, you are betting on a company with strong profitability, good cash flow, a low-debt-to-market-cap structure, and good tailwinds. But is that enough.",https://www.trefis.com/articles/602686/does-google-stock-have-more-upside/2026-06-12?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.45,0.0202,0.5298
AAPL,2026-06-12,2026-06-12 22:50:00,Cash Flow Kings: These Companies Generate Huge Cash,"Companies with strong cash-generating abilities are great targets, as they have plenty of cash to fuel growth, pay out dividends, buy back shares, and easily wipe out debt.",https://finance.yahoo.com/markets/stocks/articles/cash-flow-kings-companies-generate-225000156.html?.tsrc=rss,Yahoo Finance RSS,positive,0.6719,0.6719,0.0141,0.314
MSFT,2026-06-14,2026-06-14 21:10:42,How Constellation’s US$3.09 Billion Equity Raise And AI Power Deals At Constellation Energy (CEG) Has Changed Its Investment Story,"Earlier this month, Constellation Energy Corporation completed a US$3.09 billion follow-on equity offering of 11,000,000 common shares at about US$281 each, following an earlier filing to issue 9,000,000 shares. This capital raise comes alongside stronger-than-expected quarterly earnings, new clean energy projects coming online, and growing long-term power contracts with major AI and data center customers like Microsoft and Meta. We’ll now examine how this large equity raise, paired with...",https://finance.yahoo.com/markets/stocks/articles/constellation-us-3-09-billion-211042030.html?.tsrc=rss,Yahoo Finance RSS,positive,0.7543,0.7543,0.0128,0.2329
MSFT,2026-06-14,2026-06-14 19:50:00,SMH vs. SOXX vs. SOXQ: Which Semiconductor ETF Is the Best Buy Right Now?,Which semiconductor ETF to choose comes down to cost and portfolio construction. One wins on both counts.,https://www.fool.com/investing/2026/06/14/smh-vs-soxx-vs-soxq-which-semiconductor-etf-best/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.066,0.0333,0.9007
MSFT,2026-06-14,2026-06-14 19:45:27,monday.com (MNDY): AI Work Platform Shift Shows Why Workflow Automation Could Extend Growth,"monday.com Ltd. (NASDAQ:MNDY) is one of the high growth low debt stocks to invest in right now. The company is using AI to deepen its core work-management platform at a time when enterprises are looking to automate more everyday workflows without replacing their existing operating systems. On May 6, monday.com announced a major platform shift, […]",https://finance.yahoo.com/markets/stocks/articles/monday-com-mndy-ai-platform-194527926.html?.tsrc=rss,Yahoo Finance RSS,positive,0.6575,0.6575,0.0156,0.3269
MSFT,2026-06-14,2026-06-14 19:37:00,The Better AI Cloud Stock: Microsoft or Amazon?,"Both are racing to turn enormous AI spending into cloud profits. But on growth and valuation, one looks like the more compelling buy today.",https://www.fool.com/investing/2026/06/14/the-better-ai-cloud-stock-microsoft-or-amazon/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1457,0.0115,0.8428
MSFT,2026-06-14,2026-06-14 19:08:34,Jim Cramer Thinks Microsoft (MSFT) Doesn’t Need $100 Billion,"We recently published Jim Cramer Didn’t Hold Back On SpaceX’s IPO & Discussed These 12 Stocks. Microsoft Corporation (NASDAQ:MSFT) is one of the stocks discussed by Jim Cramer. Technology giant Microsoft Corporation (NASDAQ:MSFT)’s shares are down by 14.6% over the past year and by 15% year-to-date. UBS discussed the firm on June 7th, as it […]",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-thinks-microsoft-msft-190834894.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.9662,0.0061,0.9662,0.0277
MSFT,2026-06-14,2026-06-14 15:11:16,Microsoft Weighs Xbox Restructuring As Investors Focus On Cloud And AI,"Microsoft (NasdaqGS:MSFT) is reportedly reviewing options for its Xbox gaming division, including a spin off, joint venture, or restructuring into a separate subsidiary. The review follows significant layoffs, pressure on revenue, and consistently low profit margins within Xbox relative to the wider group. Any decision could reshape how Microsoft allocates capital between gaming and its core cloud and AI businesses. For you as an investor, Xbox sits inside a much larger story at Microsoft,...",https://finance.yahoo.com/markets/stocks/articles/microsoft-weighs-xbox-restructuring-investors-151116911.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.802,0.0261,0.802,0.172
MSFT,2026-06-14,2026-06-14 14:13:21,Is IREN (IREN) Quietly Rewriting Its AI Infrastructure Story With Microsoft-Backed GPU Financing?,"In early June 2026, IREN Limited closed a US$3.65 billion investment-grade GPU financing facility linked to its Microsoft AI cloud contract and advanced plans for an 800MW, transmission-ready data center campus in Bundey, South Australia, while also engaging BE Networks and NVIDIA DSX Air to test its upcoming Blackwell Ultra GPU deployment via a digital twin. Taken together, these moves highlight how IREN is trying to reposition itself from a Bitcoin miner into a large-scale AI...",https://finance.yahoo.com/sectors/technology/articles/iren-iren-quietly-rewriting-ai-141321615.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.3228,0.0121,0.665
MSFT,2026-06-14,2026-06-14 13:49:46,Bill Ackman Likes This Indirect AI Play Everyone’s Ignoring,"We just covered the Top 10 Stock Picks of 10 Famous Billionaires. Brookfield (NYSE:BN) ranks #9 (see Top 5 Stock Picks of 5 Famous Billionaires). Number of Hedge Funds: 47 Top Pick Of: Bill Ackman — Pershing Square Capital Brookfield (NYSE:BN) has quietly become an indirect play on the AI infrastructure buildout, thanks to its exposure […]",https://finance.yahoo.com/markets/stocks/articles/bill-ackman-likes-indirect-ai-134946464.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0491,0.0554,0.8956
MSFT,2026-06-14,2026-06-14 13:30:21,3 Cloud Computing Stocks to Load up on in June,"Hyperscaler cloud platforms are doing something rare in the AI era: turning eye-watering capital expenditures into accelerating top-line growth. With Q2 earnings reports landing in July, June is shaping up as a positioning window for the three mega caps that dominate enterprise cloud. Each just printed cloud growth that re-accelerated, each is sitting on contracted ... 3 Cloud Computing Stocks to Load up on in June",https://247wallst.com/investing/2026/06/14/3-cloud-computing-stocks-to-load-up-on-in-june/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1913,0.0133,0.7954
MSFT,2026-06-14,2026-06-14 12:31:17,"Elon Musk's SpaceX Is Coming To Solana Via Tokenized Shares, Says Foundation President","Solana Foundation President Lily Liu said on Thursday that tokenized shares of SpaceX will be available on the blockchain as soon as the company lists publicly elsewhere. Solana Set To Welcome SpaceX During an interview with CNBC, Liu said that...",https://finance.yahoo.com/markets/crypto/articles/elon-musks-spacex-coming-solana-123117680.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1775,0.0094,0.8131
MSFT,2026-06-14,2026-06-14 12:30:10,3 Beaten Down AI Infrastructure Stocks to Buy in June,"AI infrastructure stocks have given investors a textbook entry window this month. The trio that anchors the spending cycle has all pulled back from spring highs, even as the underlying revenue trajectory keeps accelerating. NVIDIA (NASDAQ:NVDA), Broadcom (NASDAQ:AVGO) and Microsoft (NASDAQ:MSFT) are the picks-and-shovels triangle of the AI buildout: silicon, custom accelerators and networking, and the ... 3 Beaten Down AI Infrastructure Stocks to Buy in June",https://247wallst.com/investing/2026/06/14/3-beaten-down-ai-infrastructure-stocks-to-buy-in-june/?.tsrc=rss,Yahoo Finance RSS,negative,-0.8179,0.0493,0.8179,0.1328
MSFT,2026-06-14,2026-06-14 11:50:00,Better Stock to Buy Now: Amazon vs. Microsoft,Amazon and Microsoft are two very similar investments.,https://www.fool.com/investing/2026/06/14/better-stock-to-buy-now-amazon-vs-microsoft/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1147,0.0182,0.8671
MSFT,2026-06-14,2026-06-14 08:05:00,3 Genius Stocks I'm Buying Instead of the SpaceX IPO,"SpaceX IPO may be popular, but there are better options available.",https://www.fool.com/investing/2026/06/14/3-genius-stocks-im-buying-instead-of-the-spacex-ip/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1251,0.0178,0.857
MSFT,2026-06-13,2026-06-13 18:38:30,IREN Secures $3.65B GPU Financing Facility for Microsoft AI Cloud Expansion,"IREN Limited (NASDAQ:IREN) is one of the best young stocks with the highest upside potential. On June 1, IREN announced that it has closed a $3.65 billion investment-grade GPU financing facility to support the delivery of its AI cloud contract with Microsoft. The financing is designed to fund large-scale GPU capital expenditures tied to the […]",https://finance.yahoo.com/sectors/technology/articles/iren-secures-3-65b-gpu-183830231.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.4699,0.0351,0.495
MSFT,2026-06-13,2026-06-13 17:59:50,Truist Reiterates “Buy” Rating On Meta Platforms (META) With $840 PT,"Meta Platforms, Inc. (NASDAQ:META) carries a profit margin of 39.36% and net income of $60.46 billion (FY25), securing its place on our list of the most profitable blue chip stocks to buy according to hedge funds, with analysts seeing 41.10% upside for the stock. That profitability is supported by a business that continues to grow […]",https://finance.yahoo.com/markets/stocks/articles/truist-reiterates-buy-rating-meta-175950721.html?.tsrc=rss,Yahoo Finance RSS,positive,0.8678,0.8678,0.0085,0.1236
MSFT,2026-06-13,2026-06-13 17:59:42,"Microsoft (MSFT)’s LinkedIn Launches BrandWorks, Targets $100 Million Annualized Revenue Run Rate","With a profit margin of 39.34% and net income of $101.83 billion (FY25), Microsoft Corporation (NASDAQ:MSFT) ranks among the most profitable blue chip stocks to buy according to hedge funds. Meanwhile, analysts see 38.20% upside for the stock. That standing is well-supported by results, and Microsoft Corporation (NASDAQ:MSFT) is actively broadening its revenue base beyond […]",https://finance.yahoo.com/markets/stocks/articles/microsoft-msft-linkedin-launches-brandworks-175942732.html?.tsrc=rss,Yahoo Finance RSS,positive,0.9346,0.9346,0.0123,0.0531
MSFT,2026-06-13,2026-06-13 17:13:08,Microsoft (MSFT): The Top Strong Buy Stock to Invest In,"Microsoft Corporation (NASDAQ:MSFT) is one of the Top 10 Strong Buy Stocks to Invest In. On June 9, 2026, KPMG and Microsoft Corporation (NASDAQ:MSFT) announced an expansion of their global relationship to help clients deploy AI at scale. Under the agreement, KPMG will use Microsoft Agent 365 to “enhance” the KPMG Trusted AI framework, while […]",https://finance.yahoo.com/markets/stocks/articles/microsoft-msft-top-strong-buy-171308370.html?.tsrc=rss,Yahoo Finance RSS,positive,0.7388,0.7388,0.0077,0.2534
MSFT,2026-06-13,2026-06-13 16:55:57,Is Microsoft Corporation (MSFT) A Good Stock To Buy Now?,"Is MSFT a good stock to buy? We came across a bullish thesis on Microsoft Corporation on Hated Moats’s Substack by Hated Moats Investors. In this article, we will summarize the bulls’ thesis on MSFT. Microsoft Corporation’s share was trading at $411.74 as of June 8th. MSFT’s trailing and forward P/E were 24.82 and 21.46 respectively according […]",https://finance.yahoo.com/markets/stocks/articles/microsoft-corporation-msft-good-stock-165557909.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0528,0.0292,0.918
GOOGL,2026-06-14,2026-06-14 19:30:24,Anthropic Turns To Google To Back Massive Data Center Push,"Anthropic is moving to take greater control of the computing infrastructure that powers its AI models, pursuing data center leases that would place the company in direct control of operating its own facilities. The effort could secure vast amounts of...",https://finance.yahoo.com/sectors/technology/articles/anthropic-turns-google-back-massive-193024074.html?.tsrc=rss,Yahoo Finance RSS,positive,0.613,0.613,0.0109,0.3761
GOOGL,2026-06-14,2026-06-14 18:35:00,3 AI Stocks Poised for Long-Term Gains Despite Strong Year-to-Date Performance,Investors with a long investment horizon should consider buying these three companies.,https://www.fool.com/investing/2026/06/14/3-ai-stocks-poised-for-long-term-gains-despite-str/?.tsrc=rss,Yahoo Finance RSS,positive,0.8337,0.8337,0.0106,0.1556
GOOGL,2026-06-14,2026-06-14 17:31:46,"Mark Zuckerberg's $115 Million Workforce Push Gets A Sunder Pichai Follow Up Act, Alphabet CEO Says Will Train 300,000 American Tradespeople","As the artificial intelligence boom fuels unprecedented demand for data centers and infrastructure, Alphabet Inc.'s Google is expanding its investment in America’s skilled trades workforce. Google Expands Skilled Trades Training Across The US On Thursday, Alphabet CEO Sundar Pichai announced...",https://finance.yahoo.com/sectors/technology/articles/mark-zuckerbergs-115-million-workforce-173146511.html?.tsrc=rss,Yahoo Finance RSS,positive,0.8751,0.8751,0.0087,0.1162
GOOGL,2026-06-14,2026-06-14 16:19:00,SpaceX Stock Began Trading. What’s Ahead for It This Week.,"The  SpaceX  record-setting IPO is in the books.  SpaceX is the latest, and largest, in a long line of hot technology IPOs.  Elon Musk’s rocket company has leveraged lower costs to reach orbit by pioneering reusable rockets into a profitable space-based broadband network.",https://finance.yahoo.com/m/d18fc8ee-f845-3650-bd98-d3bb7022cb55/spacex-stock-began-trading..html?.tsrc=rss,Yahoo Finance RSS,positive,0.496,0.496,0.0099,0.4941
GOOGL,2026-06-14,2026-06-14 16:01:00,Google Is Paying $920 Million Per Month to SpaceX. Here's Why Nvidia Is the Quiet Winner Nobody's Talking About.,The chipmaker is positioned to benefit from SpaceX's plans.,https://www.fool.com/investing/2026/06/14/google-is-paying-920-million-per-month-to-spacex-h/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.4339,0.0103,0.5557
GOOGL,2026-06-14,2026-06-14 15:31:11,Waymo Is Charging $29.99 A Month For Faster Robotaxi Pickups — Here's What Subscribers Get,"Alphabet Inc.‘s Robotaxi service, Waymo, introduced a subscription tier for users, promising quicker pickup times and early access to service rollouts in new markets. Waymo Premier In a press release published on Thursday, the Robotaxi operator touted the “Waymo Premier”...",https://finance.yahoo.com/sectors/technology/articles/waymo-charging-29-99-month-153111594.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.4918,0.0094,0.4987
GOOGL,2026-06-14,2026-06-14 13:25:00,3 Under-the-Radar Ways to Play Goldman's $1 Trillion AI Spending 2027 Forecast,These three stocks are poised to be AI spending beneficiaries.,https://www.fool.com/investing/2026/06/14/3-under-the-radar-ways-to-play-goldmans-1-trillion/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1286,0.012,0.8595
GOOGL,2026-06-14,2026-06-14 11:32:07,This market is at 'a 10': Wall Street weighs record SpaceX IPO amid AI-driven stock market,SpaceX's record IPO on Friday is a reassuring sign for Wall Street that the AI bull market has plenty of runway to go.,https://finance.yahoo.com/markets/article/this-market-is-at-a-10-wall-street-weighs-record-spacex-ipo-amid-ai-driven-stock-market-113207472.html?.tsrc=rss,Yahoo Finance RSS,positive,0.9123,0.9123,0.0202,0.0675
GOOGL,2026-06-14,2026-06-14 11:30:27,Google Reveals Why It Turned Down Trump Administration's Quantum Funding Deal: 'In This One Specific Case…',"Alphabet‘s Google Quantum AI turned down funding from the Trump administration for its quantum computing initiative, citing “conditions” that would have slowed down its progress. Charina Chou, Chief Operating Officer of Google Quantum AI, disclosed at the Semafor Tech summit...",https://finance.yahoo.com/sectors/technology/articles/google-reveals-why-turned-down-113027718.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.9165,0.017,0.9165,0.0664
GOOGL,2026-06-14,2026-06-14 08:26:57,How Booking won online travel & can it win AI travel?,"Investing.com -- Booking Holdings (NASDAQ: BKNG) remains one of the strongest players in online travel, but artificial intelligence could eventually challenge some of the company’s competitive advantages, according to a report from Bernstein.",https://finance.yahoo.com/markets/stocks/articles/booking-won-online-travel-win-082657806.html?.tsrc=rss,Yahoo Finance RSS,positive,0.8863,0.8863,0.0203,0.0933
GOOGL,2026-06-14,2026-06-14 07:25:00,Alphabet is Raising $84.75 Billion to Win the AI Wars. Should Investors Celebrate or Worry?,Alphabet is finding new ways to fund its $180 billion to $190 billion AI budget.,https://www.fool.com/investing/2026/06/14/alphabet-is-raising-8475-billion-to-win-the-ai-war/?.tsrc=rss,Yahoo Finance RSS,positive,0.5539,0.5539,0.0117,0.4344
GOOGL,2026-06-13,2026-06-13 23:23:20,The hottest debate on Wall Street right now: Does the flood of mega-IPOs and new shares signal a downturn ahead? That depends,"""The reason is that companies tend to issue when equity demand is strong, earnings momentum is healthy and investor risk appetite is elevated.""",https://finance.yahoo.com/markets/stocks/articles/hottest-debate-wall-street-now-232320473.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.8293,0.0417,0.8293,0.129
GOOGL,2026-06-13,2026-06-13 22:10:28,Alphabet’s New SpaceX Exposure Adds A Fresh Dimension To Its Story,"Alphabet's long held private stake in SpaceX has become a publicly traded position following SpaceX's historic IPO. The IPO turns Alphabet's multi billion dollar SpaceX investment into a liquid asset with a transparent market price. Investors can now see Alphabet's exposure to the commercial space and space focused AI cloud sector reflected in daily trading data. Alphabet (NasdaqGS:GOOGL) now has a directly observable stake in one of the highest profile space infrastructure companies, which...",https://finance.yahoo.com/markets/stocks/articles/alphabet-spacex-exposure-adds-fresh-221028186.html?.tsrc=rss,Yahoo Finance RSS,positive,0.4995,0.4995,0.0086,0.4919
AMZN,2026-06-14,2026-06-14 19:58:52,Amazon.com Inc. (AMZN) Shows How Logistics Scale Can Become a Broader E-Commerce Service,"Amazon.com, Inc. (NASDAQ:AMZN) is one of the best e-commerce stocks to buy as global sales hit records. The company’s advantage in online retail has long been tied to fulfillment depth, and Amazon is now pushing more of that logistics infrastructure beyond its own marketplace. On June 10, Amazon Supply Chain Services launched a less-than-truckload freight […]",https://finance.yahoo.com/markets/stocks/articles/amazon-com-inc-amzn-shows-195852040.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.3879,0.0101,0.602
AMZN,2026-06-14,2026-06-14 18:17:00,Kohl's CEO triggers major price cuts ahead of summer shopping season,"In 2015, Amazon held the first-ever Prime Day, a 24-hour savings bonanza that marked the online retailer’s 20th anniversary. That singular event changed the landscape of seasonal sales. Where department stores used to hold end-of-season discounting events twice a year, typically in August and ...",https://www.thestreet.com/retail/kohls-ceo-major-price-cuts-summer-savings-event?.tsrc=rss,Yahoo Finance RSS,negative,-0.7352,0.0481,0.7352,0.2167
AMZN,2026-06-14,2026-06-14 15:50:00,Meet the E-Commerce Stock That's Up 25% in 2026. Is It a Better Buy Than Amazon?,"The retail sector is absolutely massive, which means companies of all sizes are fighting for a share of consumers' wallets.",https://www.fool.com/investing/2026/06/14/e-commerce-stock-up-2026-better-buy-amazon/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1181,0.0444,0.8375
AMZN,2026-06-14,2026-06-14 15:00:02,Corning’s Amazon Deal Validates the AI Optics Boom. What That Means for GLW Stock.,Corning’s latest Amazon agreement strengthens the case that fiber optics demand is becoming a major AI infrastructure growth driver.,https://www.barchart.com/story/news/2461973/cornings-amazon-deal-validates-the-ai-optics-boom-what-that-means-for-glw-stock?.tsrc=rss,Yahoo Finance RSS,positive,0.8569,0.8569,0.0101,0.133
AMZN,2026-06-14,2026-06-14 13:53:07,Coinbase's D'Agostino reveals the plan to put all of finance on one app,"Amazon started by selling books. Then it sold everything, and along the way it rebuilt the infrastructure that the rest of retail now runs on. That is the lens James Heckman, CEO of Roundtable, put to Coinbase in a conversation on the floor of the New York Stock Exchange, a company that started by ...",https://www.thestreet.com/crypto/markets/coinbases-dagostino-reveals-the-plan-to-put-all-of-finance-on-one-app?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0659,0.0144,0.9198
